iban,bank,name,ammount
ES2630217923080319681094,Bankinter,Desiderio Garcés Salom,5533
ES7976318965600492999742,Kutxa,Venceslás Sanmiguel Ruiz,3148
ES2003094523590566612284,Cooperativo,Dora Hervás Pozuelo,6313
ES2589952289573369962991,Sabadell,Custodia Coca Barros,9377
ES0686175191703942365587,BancaMarch,Reyes Méndez Quevedo,2674
ES3628447843260155039737,CaixaBank,Serafina Quiroga,7533
ES8596818033568800715287,CecaBank,Severiano del Pastor,5279
ES6054739669726075191624,Sabadell,Elodia Campoy Mayol,6543
ES1393204790295302861084,Kutxa,César del Maza,4791
ES0219201097863282143286,Santander,Rufino de Merino,7208
ES5236430191588023356484,BBVA,Berta Benet Borrego,3064
ES5079078002943281671869,Cajamar,Lorenzo Juan Orozco,876
ES5549740361428348841842,BancaMarch,Amor Anglada Estévez,4177
ES1350610275773814222776,ING,Maxi Folch Bellido,3580
ES1994828196364176973561,CecaBank,Tito Benito Belmonte,7033
ES0910598217618576786781,BancaMarch,Gabriela Carbó,9808
ES4644535684008756302669,BancaMarch,Soraya Pineda Bas,7133
ES4081615731668938278305,ING,Aitana Mendizábal Lorenzo,2114
ES6413667871236482476379,CaixaBank,Aitor Tena,6034
ES2379405635742937590765,BBVA,Rogelio Llamas Roselló,2712
ES5414101072617848781051,ING,Loreto Hoyos Gelabert,5233
ES9645903967519175456493,ING,Filomena Miguel,4326
ES9708765517578807880494,BancaMarch,Cristóbal Quintero Alba,2892
ES5907886534411516085056,CecaBank,Isidro Pombo Gargallo,4553
ES2222646340624658836540,Cooperativo,Anunciación Oliver Padilla,7440
ES5980795139812880826521,Kutxa,Sebastián Leiva Miró,7358
ES8973894847554806703623,BancaMarch,Cándida del Saura,4979
ES4275156411057817755144,CaixaBank,Gerónimo Torrent-Codina,3528
ES0996275681895285116479,CecaBank,Julia Asenjo Hidalgo,1377
ES1495866182891792077321,Cajamar,Américo Poza-Criado,5203
ES3310838699722754080403,Deutsche Bank,Flora Guillen-Barrena,7249
ES3893733172668358568937,Bankinter,Rodrigo Calixto Zapata Serrano,4810
ES8524169862205400953946,Cajamar,Gracia Verdugo Fuster,6625
ES7852483445164717038462,BancaMarch,Adelina Prat Solano,3082
ES9055973652020218693927,Sabadell,Nélida Larrañaga Infante,3352
ES0877286005117977435614,CecaBank,Diana Nebot,4587
ES3331639215767991393790,BancaMarch,Beatriz Teófila Alcaraz Ribes,9719
ES7571703888281080089970,BancaMarch,Ale del Frías,2164
ES1707833571133559125387,IberCaja,Samu Pujol Viña,4692
ES5604481539494290485126,IberCaja,Petrona del Díaz,295
ES6525712708454418328488,CecaBank,Macario Mariano Codina Miró,8868
ES6504469181345966492934,Deutsche Bank,Augusto Macías-Bas,3029
ES6804009910565003787039,Santander,Ceferino Quirós Vega,951
ES0796958540015775973790,Cooperativo,Chelo Rueda Rosell,5732
ES4922238183068363356894,ING,Tadeo Ovidio Villalba Comas,7018
ES0203125441970922152304,Sabadell,Anastasia Frías Arroyo,3412
ES3011088776267727063126,CecaBank,Tatiana Busquets Posada,676
ES1015039283344306972898,Bankinter,Mohamed Arribas Mur,5683
ES0954841611928219257114,BancaMarch,Luisa de Mosquera,8560
ES1615776811482326220360,Cajamar,Odalys Tomé Pizarro,4282
ES7274203930823689373270,Kutxa,Duilio Danilo Madrid Acero,6226
ES6902099036954439523073,Santander,Fulgencio Montenegro-Viñas,3163
ES2410174426786810182681,Sabadell,Cristina del Ribes,5559
ES2735156328438292139568,Cajamar,Erasmo Villa Lamas,5888
ES3691277549237021297075,IberCaja,Mireia Sara Nebot Manuel,7536
ES1472376736099298409640,CecaBank,Noé Arregui Vázquez,5631
ES7629087887843506886929,Sabadell,Paula Mendez Saldaña,4788
ES9876330734315670837978,BancaMarch,Amarilis Arcos Luna,659
ES5140657451540406818728,CecaBank,Casemiro Pintor Valbuena,4455
ES3531895311122628602777,Kutxa,Régulo Perales Pozuelo,5172
ES9412196250306507162920,CaixaBank,Agustina Carrillo Seco,8425
ES3405496037717386884289,CecaBank,Che Pardo León,556
ES5387783394330936977955,ING,Casemiro Barba Aller,3106
ES5339068773445344882978,Kutxa,Gerónimo Azorin Tejera,7612
ES2221965609651192765004,BBVA,Rufino Jose Angel Ruiz Moliner,6046
ES7646824158017490027145,Cajamar,Lucio Villaverde-Cerdán,5907
ES4595893436818667803674,Cooperativo,Ruperta Serna Palau,6044
ES9854069060452155612940,Cajamar,Magdalena Baeza-Olmo,2440
ES8095991273446836495351,ING,Pelayo Osorio Lladó,7238
ES9503342437839715841651,Deutsche Bank,Clarisa Barreda Ochoa,2933
ES5661328398530114374908,Santander,Alondra García Barrera,9752
ES6731535427574912249192,Cajamar,Desiderio Galindo Martí,5212
ES1421550039635704755781,Deutsche Bank,Isaura Bravo Guerrero,683
ES6841687474763589326070,Cajamar,Maximiliano Álvaro Alarcón Arnal,3146
ES0665983296790763054569,ING,Haydée Navarrete-Gomila,5703
ES3110359969149910744934,BBVA,Ruben Jove Niño,488
ES4523910931308940321370,IberCaja,León Bautista Castell Barroso,6186
ES0655676994736202474471,CecaBank,Íñigo Carbajo Campos,1234
ES7455454245460077813388,ING,Toni Hervia Barrio,7228
ES1779502680344983523798,CecaBank,Vilma Angulo Prieto,2466
ES9095049419739109975458,Sabadell,Tania Castro Cuéllar,6372
ES8117264064181263142151,BancaMarch,Eladio Mena Cantón,2893
ES1149482309613505117554,Deutsche Bank,Samu Alberdi Carlos,709
ES4131599015471335855560,CecaBank,Reyna Vera,4123
ES6651658785036281400362,Cajamar,Ámbar Osorio Moll,7632
ES4727525495328491041746,BancaMarch,Sol Cañete Martínez,4527
ES9250316525668465623756,CaixaBank,Emigdio Español-Llopis,7776
ES7661791251146880804196,IberCaja,Jose Luis Puig Ribas,5395
ES7631625451973214989461,Santander,Carmelo Tito Uribe Macías,6783
ES1462928024990695178614,Santander,Jennifer Jimenez Álamo,9693
ES4471607383707259945651,IberCaja,Néstor Garriga-Torralba,1944
ES2049204681491036579648,CaixaBank,Sofía Ibañez Alcolea,3218
ES6558636694225697310815,Cajamar,María Luisa Nilda Alsina Suárez,5522
ES8910084708484453560065,ING,Marcos Blasco Aparicio,7412
ES9244255097078280256681,Cajamar,María Pilar Martirio Bilbao Mayol,137
ES2861318378706897269421,Deutsche Bank,Haroldo Montesinos Blazquez,6864
ES0487880688177796556504,BancaMarch,Mariano Jove Figueras,1654
ES6889532370671816590835,Sabadell,María Manuela Genoveva Maldonado Adadia,9427
ES9872069658815550083616,Cooperativo,Estefanía Ferrero Narváez,1136
ES0421394597516699167447,ING,Julia Esparza Arribas,9163
ES3858169859453841983181,Kutxa,Ruben Domingo Padilla Alsina,155
ES4633106550189687588232,Sabadell,Aitana Pascual-Martinez,572
ES8873595247560030881528,CecaBank,Ale Teo Barragán Belmonte,2945
ES1097184184921983174378,Kutxa,Paco Escudero Blanch,5995
ES5122132630107219253570,Santander,Borja Soria Real,8422
ES1467758091944475769063,Cajamar,Francisco Jose Rosa,1572
ES8748440503024543714606,CecaBank,Rosa Barrio Pardo,9055
ES0921518042866973262379,IberCaja,Tomasa Llanos Carreras,7197
ES9547270931163016942328,Kutxa,Loreto Alberto Antón Miralles,5513
ES4504391497846448083069,CecaBank,Joel Carreras Bravo,1539
ES6564202447232319089065,Bankinter,Pancho Barroso Rosell,1387
ES8135840737852645051828,Cooperativo,Luis Miguel Tormo Saura,8784
ES6069037232248119980667,CecaBank,Dan Iriarte Aguado,5863
ES1392144578562696180219,Santander,Lilia Juliá Palmer,9314
ES9658229322494969068394,BancaMarch,Consuela Martin Fiol,6615
ES7860511377470990972618,Bankinter,Fortunato Pineda,2778
ES3511537919018394536101,Kutxa,Chita Tirado Arce,2220
ES7177228395565803355161,BBVA,Alejandro Garay,4497
ES6114413160803543392692,Deutsche Bank,Fanny Múgica Zabala,1769
ES3767337585548865900949,Cajamar,Emperatriz Sol Pla Millán,3621
ES8618727966605324228657,Deutsche Bank,Xiomara Palmer Mateo,175
ES5602378444594605068982,CecaBank,Emigdio Llobet Alsina,4721
ES4295411389778930493585,ING,Julián Muro Ballester,5211
ES0472311773226731774738,Cooperativo,Nacho Bilbao Ramírez,4876
ES7554038224723699302899,BancaMarch,Diego Zapata Agustí,4264
ES1469568664687989213734,Cooperativo,Graciana Verdejo Tejedor,1867
ES4249103798250930900339,Cooperativo,Albino Ruiz Rocha,9426
ES1970125723829893765393,Bankinter,Nilo Alegria-Calderón,8869
ES0503446359852614804715,Kutxa,Bernardo Rodrigo Martí,6640
ES2867753044373588470268,Bankinter,Dalila Checa Rivas,9978
ES4750217684492035779024,Sabadell,Alma Frías Noguera,9095
ES1464803978189169886479,Sabadell,Cipriano Luís Guillen Carrera,9317
ES2530826214524407348869,Kutxa,Vicente Saldaña Montenegro,537
ES1583633469993016381147,CaixaBank,Rosendo Osuna Barranco,3316
ES0938844954400955841800,Cajamar,Patricia Ofelia Zapata Querol,3871
ES1823722868856452636664,BBVA,Macario Sierra Chacón,8463
ES2450975669433727757336,Santander,Chema Parra-Andres,501
ES1252720639620212858018,Cajamar,Emiliana de Lozano,4112
ES0641118944313953836835,BancaMarch,Dominga Anglada,6832
ES6635826044114917703519,Cajamar,Albino Escolano-Aragonés,9237
ES2018360733273411542623,IberCaja,Sancho Montesinos Caparrós,9079
ES8619319467283494649552,CaixaBank,Renato Tapia-Bueno,911
ES4053095680830758039931,Cajamar,Andrés Felipe Pino Recio,3895
ES3852420888705790481883,CecaBank,Lourdes de Mena,9520
ES1939472901551759712184,Deutsche Bank,Jaime de Vélez,8924
ES2107084329452326385397,Sabadell,Marciano Zapata-Ferrando,8853
ES5868451599150515970499,Deutsche Bank,Cándido Falcón Ribera,8043
ES8428615449512367582346,Cajamar,Eleuterio Ródenas Catalá,7771
ES0463090887614898067757,Santander,Florencia Malo Ropero,3572
ES5897470103595129981723,BBVA,Samuel Castells Morillo,4666
ES3177009211595941284927,BBVA,María Dolores Adriana Rivas Coello,6196
ES8428101363899533576034,Deutsche Bank,Ismael Díaz Manzano,6158
ES2063960620766519719138,Santander,Vinicio Vila Galindo,4888
ES9175836331883083584275,Cooperativo,Elena Nieto Escrivá,5542
ES1189900584467065347956,Bankinter,Basilio Mármol Botella,7683
ES6892218282713147334248,ING,Maricruz Rosales Aller,5360
ES6745767220520978851541,Bankinter,Leonel Codina Hernández,7586
ES2165766179462397564405,Cooperativo,Abigaíl Cantero-Bosch,6747
ES5620620290207189671356,IberCaja,Felipa Jaume Tamayo,9591
ES3455496914955330795944,Bankinter,Abigaíl Ribera,3487
ES9756845911237860929336,BancaMarch,Evaristo Carretero,2268
ES3837877620392028517842,Cooperativo,Marcia Cobos Arjona,2141
ES9222254662874129889163,ING,Simón Noé Palomar Bilbao,5222
ES7574185874943819592530,Cajamar,Lorena Toro Río,3089
ES8122902367356023805215,Santander,Aristides Ezequiel Delgado Revilla,6682
ES8542020838049764394192,CaixaBank,Nadia Soria Hierro,5887
ES2127987405334116065527,Kutxa,Agustina Mariño Yuste,9464
ES7966985939261196897442,Bankinter,Hortensia Salomé Yáñez Feliu,3547
ES3382690827039482658109,CecaBank,Martina Quirós Feijoo,2735
ES1755758849565987870240,ING,Lucho Busquets Riquelme,1794
ES0711262730008324396827,Sabadell,Francisco Jose Cazorla,322
ES1602922070148219428038,Santander,Fabricio Parra,8235
ES0376794134928864758126,Sabadell,Soledad Mateo,294
ES4340861983051343561538,BBVA,Bárbara Rius Izquierdo,3507
ES6320214591189124284840,Cajamar,Sandra Lobo-Salvador,9090
ES3393164114802742146690,BBVA,Oriana Cáceres Llabrés,962
ES9187501025689207191194,Cajamar,Olegario Domingo,8538
ES0497115340501449999903,CecaBank,Paula Álamo Pascual,2724
ES1024163009304260714323,Kutxa,Tito Estévez Sastre,2748
ES1844662778765437670714,Deutsche Bank,Simón Donaire,6415
ES4488269243067007643287,Santander,Crescencia Rivero Tejera,1565
ES6868761577659035529233,CaixaBank,Perlita Valle Sala,8997
ES4748055287583843961076,IberCaja,Florencia Saavedra Arregui,1464
ES9017432072453534401577,Deutsche Bank,Margarita Giralt,3245
ES3170678568617089060031,Deutsche Bank,Espiridión Luján Torrecilla,7453
ES9872839450580926027813,Deutsche Bank,Daniel Florencio Bustamante Cobo,3658
ES0200363634980672200313,Kutxa,Marcio Belda,6215
ES1760458577840730900789,Bankinter,Eloy Nevado Ferreras,8906
ES2784801714473381336459,Bankinter,Mirta Gras Rosales,9617
ES7421986811628231103822,Bankinter,Brígida Arnau Ros,8756
ES6422513714514587945126,Santander,Nicolasa Nieves Seco Rey,1640
ES5722089979434138259474,Deutsche Bank,Haydée Soria Vicens,4272
ES3543197330265959534368,Santander,Odalis Ana Plana Bermejo,6400
ES7027467224601538413116,ING,Merche del Robledo,9562
ES1997105814297409072599,Kutxa,Silvia de Méndez,521
ES5130400301469305882333,Sabadell,María Cristina Vergara Frutos,7860
ES9875736627373014281779,Cooperativo,Pili Bou,6031
ES9179160351862521545288,Deutsche Bank,Narcisa Herrero Pazos,649
ES3188658490521968991711,IberCaja,Maximino Valbuena Amigó,231
ES8837924661970101645093,Cooperativo,Sarita Mayol Casanova,2108
ES7277723039923251392006,Cooperativo,Tiburcio Vazquez Bautista,787
ES1610709817126289662647,BancaMarch,Ulises Giralt Iglesias,7239
ES4572344465785905323055,Cooperativo,Abraham Borrego,2457
ES3053538777584903017156,Bankinter,Adolfo Chacón Costa,2134
ES3665104494543532868305,Deutsche Bank,Amelia Palomino,6616
ES4078638157737962374732,Santander,Amado Viña-Farré,1191
ES8625553983758571681565,Bankinter,Inés Mosquera,4194
ES6769338885124859575687,CecaBank,Estefanía Agullo Losada,4071
ES1859657885915733386449,BBVA,Pelayo Bauzà-Fonseca,4434
ES3059059663949854449502,CaixaBank,Adela Morera Puerta,9746
ES2299493768792402986607,Santander,Leocadia Pizarro Jover,1601
ES1542034821243950868957,Cajamar,Selena Sarmiento Gargallo,4729
ES4482869916118770789174,Sabadell,Lalo Lloret Sarabia,4877
ES1583155283631248597742,IberCaja,Jose Luis Cerdán Aguirre,3091
ES3391524391520561698646,IberCaja,Susanita Montero Cabezas,8679
ES3777590182393026585219,Cooperativo,Claudia Cases Luque,2505
ES4308854409179362991571,Bankinter,Marcelino de Ledesma,4232
ES6550947093374167304234,ING,Candela María Del Carmen Gutiérrez Ferreras,6598
ES2833230142474951646213,Bankinter,Marta Carrasco Aguilera,521
ES8699495310781316289281,CaixaBank,Maricruz Llorens Pedrosa,3617
ES6632520709939172398369,Santander,Coral Carlota Adán Llobet,450
ES5839176241287474683972,Sabadell,Amalia Oliva Martí,7370
ES6444762621415362190521,ING,Luna Morell Segovia,714
ES0469341200702948675114,CecaBank,Fausto Tovar Sanmiguel,7323
ES9788627449159402878289,BBVA,Purificación Barrio Mata,9435
ES9793704582554000780084,CaixaBank,Azahar Carretero Huguet,8862
ES3523913498811919912895,Kutxa,Borja Cifuentes,4378
ES3189451741898038279775,IberCaja,Apolinar Pastor Alcolea Peinado,4871
ES7312602931131349866930,CecaBank,Aurelio Leal Verdejo,5895
